material_code,date,shop,leadtime_days
100000,2024-02-01 18:18:15.938575,Piacenza,16.6
100000,2024-03-01 18:18:15.938575,Piacenza,13.4
100000,2024-04-01 18:18:15.938575,Piacenza,12.8
100000,2024-05-01 18:18:15.938575,Piacenza,10.0
100000,2024-06-01 18:18:15.938575,Piacenza,15.6
100000,2024-07-01 18:18:15.938575,Piacenza,18.0
100000,2024-08-01 18:18:15.938575,Piacenza,21.7
100000,2024-09-01 18:18:15.938575,Piacenza,15.2
100000,2024-10-01 18:18:15.938575,Piacenza,13.8
100000,2024-11-01 18:18:15.938575,Piacenza,11.2
100000,2024-12-01 18:18:15.938575,Piacenza,8.4
100000,2025-01-01 18:18:15.938575,Piacenza,14.5
100000,2025-02-01 18:18:15.938575,Piacenza,21.1
100000,2025-03-01 18:18:15.938575,Piacenza,17.8
100000,2025-04-01 18:18:15.938575,Piacenza,17.3
100000,2025-05-01 18:18:15.938575,Piacenza,14.7
100000,2025-06-01 18:18:15.938575,Piacenza,15.1
100000,2025-07-01 18:18:15.938575,Piacenza,6.7
100000,2025-08-01 18:18:15.938575,Piacenza,16.3
100000,2025-09-01 18:18:15.938575,Piacenza,12.3
100000,2025-10-01 18:18:15.938575,Piacenza,11.9
100000,2025-11-01 18:18:15.938575,Piacenza,13.0
100000,2025-12-01 18:18:15.938575,Piacenza,12.9
100000,2026-01-01 18:18:15.938575,Piacenza,11.8
100001,2024-02-01 18:18:15.938575,Piacenza,14.0
100001,2024-03-01 18:18:15.938575,Piacenza,12.3
100001,2024-04-01 18:18:15.938575,Piacenza,14.3
100001,2024-05-01 18:18:15.938575,Piacenza,9.5
100001,2024-06-01 18:18:15.938575,Piacenza,13.4
100001,2024-07-01 18:18:15.938575,Piacenza,10.7
100001,2024-08-01 18:18:15.938575,Piacenza,12.1
100001,2024-09-01 18:18:15.938575,Piacenza,14.4
100001,2024-10-01 18:18:15.938575,Piacenza,9.2
100001,2024-11-01 18:18:15.938575,Piacenza,11.5
100001,2024-12-01 18:18:15.938575,Piacenza,15.7
100001,2025-01-01 18:18:15.938575,Piacenza,9.8
100001,2025-02-01 18:18:15.938575,Piacenza,19.3
100001,2025-03-01 18:18:15.938575,Piacenza,17.6
100001,2025-04-01 18:18:15.938575,Piacenza,12.5
100001,2025-05-01 18:18:15.938575,Piacenza,11.6
100001,2025-06-01 18:18:15.938575,Piacenza,14.6
100001,2025-07-01 18:18:15.938575,Piacenza,9.7
100001,2025-08-01 18:18:15.938575,Piacenza,8.0
100001,2025-09-01 18:18:15.938575,Piacenza,12.6
100001,2025-10-01 18:18:15.938575,Piacenza,13.6
100001,2025-11-01 18:18:15.938575,Piacenza,14.3
100001,2025-12-01 18:18:15.938575,Piacenza,12.2
100001,2026-01-01 18:18:15.938575,Piacenza,17.8
100002,2024-02-01 18:18:15.938575,Piacenza,9.5
100002,2024-03-01 18:18:15.938575,Piacenza,10.6
100002,2024-04-01 18:18:15.938575,Piacenza,15.5
100002,2024-05-01 18:18:15.938575,Piacenza,10.5
100002,2024-06-01 18:18:15.938575,Piacenza,10.4
100002,2024-07-01 18:18:15.938575,Piacenza,14.4
100002,2024-08-01 18:18:15.938575,Piacenza,10.8
100002,2024-09-01 18:18:15.938575,Piacenza,13.6
100002,2024-10-01 18:18:15.938575,Piacenza,11.9
100002,2024-11-01 18:18:15.938575,Piacenza,11.4
100002,2024-12-01 18:18:15.938575,Piacenza,7.7
100002,2025-01-01 18:18:15.938575,Piacenza,14.4
100002,2025-02-01 18:18:15.938575,Piacenza,10.3
100002,2025-03-01 18:18:15.938575,Piacenza,13.5
100002,2025-04-01 18:18:15.938575,Piacenza,12.5
100002,2025-05-01 18:18:15.938575,Piacenza,13.4
100002,2025-06-01 18:18:15.938575,Piacenza,13.6
100002,2025-07-01 18:18:15.938575,Piacenza,14.6
100002,2025-08-01 18:18:15.938575,Piacenza,11.8
100002,2025-09-01 18:18:15.938575,Piacenza,17.7
100002,2025-10-01 18:18:15.938575,Piacenza,8.5
100002,2025-11-01 18:18:15.938575,Piacenza,13.3
100002,2025-12-01 18:18:15.938575,Piacenza,16.5
100002,2026-01-01 18:18:15.938575,Piacenza,15.4
100003,2024-02-01 18:18:15.938575,Piacenza,11.1
100003,2024-03-01 18:18:15.938575,Piacenza,11.6
100003,2024-04-01 18:18:15.938575,Piacenza,11.0
100003,2024-05-01 18:18:15.938575,Piacenza,15.8
100003,2024-06-01 18:18:15.938575,Piacenza,11.8
100003,2024-07-01 18:18:15.938575,Piacenza,14.8
100003,2024-08-01 18:18:15.938575,Piacenza,14.8
100003,2024-09-01 18:18:15.938575,Piacenza,21.1
100003,2024-10-01 18:18:15.938575,Piacenza,14.9
100003,2024-11-01 18:18:15.938575,Piacenza,11.6
100003,2024-12-01 18:18:15.938575,Piacenza,9.6
100003,2025-01-01 18:18:15.938575,Piacenza,13.2
100003,2025-02-01 18:18:15.938575,Piacenza,13.6
100003,2025-03-01 18:18:15.938575,Piacenza,7.4
100003,2025-04-01 18:18:15.938575,Piacenza,11.9
100003,2025-05-01 18:18:15.938575,Piacenza,14.9
100003,2025-06-01 18:18:15.938575,Piacenza,12.4
100003,2025-07-01 18:18:15.938575,Piacenza,16.9
100003,2025-08-01 18:18:15.938575,Piacenza,9.3
100003,2025-09-01 18:18:15.938575,Piacenza,16.0
100003,2025-10-01 18:18:15.938575,Piacenza,16.7
100003,2025-11-01 18:18:15.938575,Piacenza,16.9
100003,2025-12-01 18:18:15.938575,Piacenza,9.3
100003,2026-01-01 18:18:15.938575,Piacenza,14.9
100004,2024-02-01 18:18:15.938575,Piacenza,12.0
100004,2024-03-01 18:18:15.938575,Piacenza,9.8
100004,2024-04-01 18:18:15.938575,Piacenza,12.8
100004,2024-05-01 18:18:15.938575,Piacenza,11.3
100004,2024-06-01 18:18:15.938575,Piacenza,16.8
100004,2024-07-01 18:18:15.938575,Piacenza,15.5
100004,2024-08-01 18:18:15.938575,Piacenza,10.5
100004,2024-09-01 18:18:15.938575,Piacenza,11.8
100004,2024-10-01 18:18:15.938575,Piacenza,12.9
100004,2024-11-01 18:18:15.938575,Piacenza,13.8
100004,2024-12-01 18:18:15.938575,Piacenza,17.0
100004,2025-01-01 18:18:15.938575,Piacenza,16.1
100004,2025-02-01 18:18:15.938575,Piacenza,14.2
100004,2025-03-01 18:18:15.938575,Piacenza,13.2
100004,2025-04-01 18:18:15.938575,Piacenza,8.7
100004,2025-05-01 18:18:15.938575,Piacenza,17.9
100004,2025-06-01 18:18:15.938575,Piacenza,12.7
100004,2025-07-01 18:18:15.938575,Piacenza,18.7
100004,2025-08-01 18:18:15.938575,Piacenza,14.6
100004,2025-09-01 18:18:15.938575,Piacenza,20.1
100004,2025-10-01 18:18:15.938575,Piacenza,15.8
100004,2025-11-01 18:18:15.938575,Piacenza,9.7
100004,2025-12-01 18:18:15.938575,Piacenza,12.2
100004,2026-01-01 18:18:15.938575,Piacenza,13.5
100005,2024-02-01 18:18:15.938575,Piacenza,11.4
100005,2024-03-01 18:18:15.938575,Piacenza,12.9
100005,2024-04-01 18:18:15.938575,Piacenza,9.9
100005,2024-05-01 18:18:15.938575,Piacenza,14.0
100005,2024-06-01 18:18:15.938575,Piacenza,14.7
100005,2024-07-01 18:18:15.938575,Piacenza,11.0
100005,2024-08-01 18:18:15.938575,Piacenza,19.8
100005,2024-09-01 18:18:15.938575,Piacenza,14.2
100005,2024-10-01 18:18:15.938575,Piacenza,11.5
100005,2024-11-01 18:18:15.938575,Piacenza,9.1
100005,2024-12-01 18:18:15.938575,Piacenza,14.2
100005,2025-01-01 18:18:15.938575,Piacenza,13.2
100005,2025-02-01 18:18:15.938575,Piacenza,16.3
100005,2025-03-01 18:18:15.938575,Piacenza,13.6
100005,2025-04-01 18:18:15.938575,Piacenza,10.4
100005,2025-05-01 18:18:15.938575,Piacenza,19.0
100005,2025-06-01 18:18:15.938575,Piacenza,15.3
100005,2025-07-01 18:18:15.938575,Piacenza,13.2
100005,2025-08-01 18:18:15.938575,Piacenza,14.5
100005,2025-09-01 18:18:15.938575,Piacenza,15.4
100005,2025-10-01 18:18:15.938575,Piacenza,9.7
100005,2025-11-01 18:18:15.938575,Piacenza,14.5
100005,2025-12-01 18:18:15.938575,Piacenza,12.6
100005,2026-01-01 18:18:15.938575,Piacenza,15.5
100006,2024-02-01 18:18:15.938575,Piacenza,11.8
100006,2024-03-01 18:18:15.938575,Piacenza,12.2
100006,2024-04-01 18:18:15.938575,Piacenza,19.0
100006,2024-05-01 18:18:15.938575,Piacenza,17.7
100006,2024-06-01 18:18:15.938575,Piacenza,5.0
100006,2024-07-01 18:18:15.938575,Piacenza,17.5
100006,2024-08-01 18:18:15.938575,Piacenza,13.8
100006,2024-09-01 18:18:15.938575,Piacenza,11.9
100006,2024-10-01 18:18:15.938575,Piacenza,11.0
100006,2024-11-01 18:18:15.938575,Piacenza,11.2
100006,2024-12-01 18:18:15.938575,Piacenza,12.0
100006,2025-01-01 18:18:15.938575,Piacenza,10.6
100006,2025-02-01 18:18:15.938575,Piacenza,9.9
100006,2025-03-01 18:18:15.938575,Piacenza,10.9
100006,2025-04-01 18:18:15.938575,Piacenza,15.0
100006,2025-05-01 18:18:15.938575,Piacenza,14.2
100006,2025-06-01 18:18:15.938575,Piacenza,15.7
100006,2025-07-01 18:18:15.938575,Piacenza,13.8
100006,2025-08-01 18:18:15.938575,Piacenza,10.1
100006,2025-09-01 18:18:15.938575,Piacenza,15.5
100006,2025-10-01 18:18:15.938575,Piacenza,11.0
100006,2025-11-01 18:18:15.938575,Piacenza,15.9
100006,2025-12-01 18:18:15.938575,Piacenza,10.5
100006,2026-01-01 18:18:15.938575,Piacenza,11.9
100007,2024-02-01 18:18:15.938575,Piacenza,12.9
100007,2024-03-01 18:18:15.938575,Piacenza,16.0
100007,2024-04-01 18:18:15.938575,Piacenza,14.5
100007,2024-05-01 18:18:15.938575,Piacenza,14.1
100007,2024-06-01 18:18:15.938575,Piacenza,19.7
100007,2024-07-01 18:18:15.938575,Piacenza,8.5
100007,2024-08-01 18:18:15.938575,Piacenza,10.9
100007,2024-09-01 18:18:15.938575,Piacenza,10.8
100007,2024-10-01 18:18:15.938575,Piacenza,8.7
100007,2024-11-01 18:18:15.938575,Piacenza,11.8
100007,2024-12-01 18:18:15.938575,Piacenza,16.1
100007,2025-01-01 18:18:15.938575,Piacenza,12.2
100007,2025-02-01 18:18:15.938575,Piacenza,13.0
100007,2025-03-01 18:18:15.938575,Piacenza,8.8
100007,2025-04-01 18:18:15.938575,Piacenza,11.6
100007,2025-05-01 18:18:15.938575,Piacenza,12.6
100007,2025-06-01 18:18:15.938575,Piacenza,15.9
100007,2025-07-01 18:18:15.938575,Piacenza,9.0
100007,2025-08-01 18:18:15.938575,Piacenza,12.6
100007,2025-09-01 18:18:15.938575,Piacenza,17.3
100007,2025-10-01 18:18:15.938575,Piacenza,12.7
100007,2025-11-01 18:18:15.938575,Piacenza,7.7
100007,2025-12-01 18:18:15.938575,Piacenza,17.8
100007,2026-01-01 18:18:15.938575,Piacenza,16.2
100008,2024-02-01 18:18:15.938575,Piacenza,16.6
100008,2024-03-01 18:18:15.938575,Piacenza,8.8
100008,2024-04-01 18:18:15.938575,Piacenza,18.5
100008,2024-05-01 18:18:15.938575,Piacenza,11.7
100008,2024-06-01 18:18:15.938575,Piacenza,12.5
100008,2024-07-01 18:18:15.938575,Piacenza,11.9
100008,2024-08-01 18:18:15.938575,Piacenza,16.8
100008,2024-09-01 18:18:15.938575,Piacenza,13.5
