material_code,description,business_unit,intro_date,phaseout_date
100000,LUSH-like Product 1,Haircare,2024-08-01 18:18:15.938575,
100001,LUSH-like Product 2,Fragrance,2025-09-01 18:18:15.938575,2027-01-01 18:18:15.938575
100002,LUSH-like Product 3,Bath,2025-04-01 18:18:15.938575,
100003,LUSH-like Product 4,Haircare,2024-12-01 18:18:15.938575,
100004,LUSH-like Product 5,Haircare,2024-09-01 18:18:15.938575,
100005,LUSH-like Product 6,Fragrance,2025-10-01 18:18:15.938575,2026-06-01 18:18:15.938575
100006,LUSH-like Product 7,Bath,2024-08-01 18:18:15.938575,
100007,LUSH-like Product 8,Bath,2025-08-01 18:18:15.938575,
100008,LUSH-like Product 9,Haircare,2025-12-01 18:18:15.938575,
100009,LUSH-like Product 10,Skincare,2024-12-01 18:18:15.938575,
100010,LUSH-like Product 11,Haircare,2024-12-01 18:18:15.938575,
100011,LUSH-like Product 12,Haircare,2026-01-01 18:18:15.938575,
100012,LUSH-like Product 13,Haircare,2025-10-01 18:18:15.938575,
100013,LUSH-like Product 14,Haircare,2024-05-01 18:18:15.938575,
100014,LUSH-like Product 15,Fragrance,2024-09-01 18:18:15.938575,2025-04-01 18:18:15.938575
100015,LUSH-like Product 16,Bath,2026-01-01 18:18:15.938575,
100016,LUSH-like Product 17,Fragrance,2024-04-01 18:18:15.938575,2025-05-01 18:18:15.938575
100017,LUSH-like Product 18,Fragrance,2025-11-01 18:18:15.938575,
100018,LUSH-like Product 19,Fragrance,2025-10-01 18:18:15.938575,
100019,LUSH-like Product 20,Haircare,2024-03-01 18:18:15.938575,
100020,LUSH-like Product 21,Skincare,2026-01-01 18:18:15.938575,
100021,LUSH-like Product 22,Bath,2025-01-01 18:18:15.938575,
100022,LUSH-like Product 23,Skincare,2024-07-01 18:18:15.938575,
100023,LUSH-like Product 24,Fragrance,2024-03-01 18:18:15.938575,
100024,LUSH-like Product 25,Fragrance,2025-10-01 18:18:15.938575,
100025,LUSH-like Product 26,Skincare,2024-02-01 18:18:15.938575,2025-04-01 18:18:15.938575
100026,LUSH-like Product 27,Skincare,2025-01-01 18:18:15.938575,
100027,LUSH-like Product 28,Skincare,2025-11-01 18:18:15.938575,
100028,LUSH-like Product 29,Fragrance,2025-01-01 18:18:15.938575,
100029,LUSH-like Product 30,Fragrance,2025-06-01 18:18:15.938575,
100030,LUSH-like Product 31,Bath,2024-11-01 18:18:15.938575,
100031,LUSH-like Product 32,Bath,2025-05-01 18:18:15.938575,
100032,LUSH-like Product 33,Fragrance,2025-04-01 18:18:15.938575,
100033,LUSH-like Product 34,Skincare,2025-04-01 18:18:15.938575,
100034,LUSH-like Product 35,Skincare,2025-08-01 18:18:15.938575,
100035,LUSH-like Product 36,Bath,2025-01-01 18:18:15.938575,
100036,LUSH-like Product 37,Fragrance,2025-12-01 18:18:15.938575,
100037,LUSH-like Product 38,Bath,2025-09-01 18:18:15.938575,
100038,LUSH-like Product 39,Bath,2024-04-01 18:18:15.938575,
100039,LUSH-like Product 40,Haircare,2024-06-01 18:18:15.938575,
100040,LUSH-like Product 41,Haircare,2025-08-01 18:18:15.938575,
100041,LUSH-like Product 42,Haircare,2024-08-01 18:18:15.938575,2025-02-01 18:18:15.938575
100042,LUSH-like Product 43,Skincare,2025-10-01 18:18:15.938575,
100043,LUSH-like Product 44,Fragrance,2024-10-01 18:18:15.938575,
100044,LUSH-like Product 45,Fragrance,2024-08-01 18:18:15.938575,
100045,LUSH-like Product 46,Fragrance,2025-07-01 18:18:15.938575,
100046,LUSH-like Product 47,Fragrance,2024-05-01 18:18:15.938575,2025-02-01 18:18:15.938575
100047,LUSH-like Product 48,Haircare,2025-03-01 18:18:15.938575,2026-05-01 18:18:15.938575
100048,LUSH-like Product 49,Skincare,2025-07-01 18:18:15.938575,
100049,LUSH-like Product 50,Skincare,2024-10-01 18:18:15.938575,
100050,LUSH-like Product 51,Haircare,2025-10-01 18:18:15.938575,
100051,LUSH-like Product 52,Skincare,2024-03-01 18:18:15.938575,
100052,LUSH-like Product 53,Haircare,2025-09-01 18:18:15.938575,
100053,LUSH-like Product 54,Fragrance,2025-04-01 18:18:15.938575,
100054,LUSH-like Product 55,Haircare,2024-08-01 18:18:15.938575,2025-06-01 18:18:15.938575
100055,LUSH-like Product 56,Fragrance,2025-01-01 18:18:15.938575,
100056,LUSH-like Product 57,Fragrance,2024-09-01 18:18:15.938575,
100057,LUSH-like Product 58,Bath,2025-04-01 18:18:15.938575,
100058,LUSH-like Product 59,Haircare,2024-04-01 18:18:15.938575,
100059,LUSH-like Product 60,Bath,2025-03-01 18:18:15.938575,
100060,LUSH-like Product 61,Haircare,2025-06-01 18:18:15.938575,
100061,LUSH-like Product 62,Haircare,2024-05-01 18:18:15.938575,2025-08-01 18:18:15.938575
100062,LUSH-like Product 63,Bath,2025-07-01 18:18:15.938575,
100063,LUSH-like Product 64,Bath,2024-09-01 18:18:15.938575,
100064,LUSH-like Product 65,Haircare,2024-05-01 18:18:15.938575,2025-01-01 18:18:15.938575
100065,LUSH-like Product 66,Skincare,2024-03-01 18:18:15.938575,
100066,LUSH-like Product 67,Fragrance,2024-07-01 18:18:15.938575,
100067,LUSH-like Product 68,Bath,2025-11-01 18:18:15.938575,2027-04-01 18:18:15.938575
100068,LUSH-like Product 69,Fragrance,2024-11-01 18:18:15.938575,
100069,LUSH-like Product 70,Skincare,2024-05-01 18:18:15.938575,
100070,LUSH-like Product 71,Skincare,2025-11-01 18:18:15.938575,
100071,LUSH-like Product 72,Skincare,2025-07-01 18:18:15.938575,
100072,LUSH-like Product 73,Bath,2025-01-01 18:18:15.938575,
100073,LUSH-like Product 74,Skincare,2024-03-01 18:18:15.938575,
100074,LUSH-like Product 75,Bath,2024-11-01 18:18:15.938575,
100075,LUSH-like Product 76,Skincare,2024-05-01 18:18:15.938575,
100076,LUSH-like Product 77,Fragrance,2025-03-01 18:18:15.938575,2026-01-01 18:18:15.938575
100077,LUSH-like Product 78,Fragrance,2025-05-01 18:18:15.938575,
100078,LUSH-like Product 79,Haircare,2025-04-01 18:18:15.938575,
100079,LUSH-like Product 80,Fragrance,2024-09-01 18:18:15.938575,
100080,LUSH-like Product 81,Haircare,2025-03-01 18:18:15.938575,
100081,LUSH-like Product 82,Fragrance,2025-12-01 18:18:15.938575,
100082,LUSH-like Product 83,Bath,2024-09-01 18:18:15.938575,
100083,LUSH-like Product 84,Fragrance,2025-10-01 18:18:15.938575,
100084,LUSH-like Product 85,Haircare,2025-05-01 18:18:15.938575,
100085,LUSH-like Product 86,Haircare,2025-02-01 18:18:15.938575,
100086,LUSH-like Product 87,Skincare,2025-07-01 18:18:15.938575,
100087,LUSH-like Product 88,Bath,2025-04-01 18:18:15.938575,
100088,LUSH-like Product 89,Fragrance,2025-10-01 18:18:15.938575,
100089,LUSH-like Product 90,Skincare,2026-01-01 18:18:15.938575,
100090,LUSH-like Product 91,Fragrance,2025-02-01 18:18:15.938575,
100091,LUSH-like Product 92,Fragrance,2024-10-01 18:18:15.938575,
100092,LUSH-like Product 93,Skincare,2025-04-01 18:18:15.938575,
100093,LUSH-like Product 94,Skincare,2025-02-01 18:18:15.938575,
100094,LUSH-like Product 95,Skincare,2024-02-01 18:18:15.938575,
100095,LUSH-like Product 96,Skincare,2024-08-01 18:18:15.938575,
100096,LUSH-like Product 97,Skincare,2024-10-01 18:18:15.938575,
100097,LUSH-like Product 98,Fragrance,2026-01-01 18:18:15.938575,
100098,LUSH-like Product 99,Skincare,2024-02-01 18:18:15.938575,
100099,LUSH-like Product 100,Bath,2025-01-01 18:18:15.938575,
100100,LUSH-like Product 101,Haircare,2024-09-01 18:18:15.938575,
100101,LUSH-like Product 102,Skincare,2026-01-01 18:18:15.938575,
100102,LUSH-like Product 103,Skincare,2024-12-01 18:18:15.938575,
100103,LUSH-like Product 104,Fragrance,2025-08-01 18:18:15.938575,2026-02-01 18:18:15.938575
100104,LUSH-like Product 105,Skincare,2025-06-01 18:18:15.938575,
100105,LUSH-like Product 106,Skincare,2024-09-01 18:18:15.938575,
100106,LUSH-like Product 107,Skincare,2024-04-01 18:18:15.938575,2025-02-01 18:18:15.938575
100107,LUSH-like Product 108,Fragrance,2024-04-01 18:18:15.938575,2025-02-01 18:18:15.938575
100108,LUSH-like Product 109,Skincare,2024-02-01 18:18:15.938575,
100109,LUSH-like Product 110,Haircare,2024-06-01 18:18:15.938575,2025-02-01 18:18:15.938575
100110,LUSH-like Product 111,Fragrance,2024-11-01 18:18:15.938575,
100111,LUSH-like Product 112,Haircare,2024-08-01 18:18:15.938575,2025-10-01 18:18:15.938575
100112,LUSH-like Product 113,Fragrance,2024-10-01 18:18:15.938575,
100113,LUSH-like Product 114,Skincare,2024-08-01 18:18:15.938575,
100114,LUSH-like Product 115,Haircare,2024-10-01 18:18:15.938575,
100115,LUSH-like Product 116,Fragrance,2024-09-01 18:18:15.938575,
100116,LUSH-like Product 117,Bath,2025-01-01 18:18:15.938575,
100117,LUSH-like Product 118,Skincare,2024-03-01 18:18:15.938575,
100118,LUSH-like Product 119,Fragrance,2024-02-01 18:18:15.938575,
100119,LUSH-like Product 120,Bath,2025-05-01 18:18:15.938575,
100120,LUSH-like Product 121,Fragrance,2025-12-01 18:18:15.938575,2026-11-01 18:18:15.938575
100121,LUSH-like Product 122,Bath,2025-12-01 18:18:15.938575,
100122,LUSH-like Product 123,Skincare,2026-01-01 18:18:15.938575,
100123,LUSH-like Product 124,Haircare,2024-06-01 18:18:15.938575,
100124,LUSH-like Product 125,Bath,2024-04-01 18:18:15.938575,
100125,LUSH-like Product 126,Fragrance,2025-01-01 18:18:15.938575,
100126,LUSH-like Product 127,Skincare,2024-09-01 18:18:15.938575,
100127,LUSH-like Product 128,Bath,2025-11-01 18:18:15.938575,
100128,LUSH-like Product 129,Fragrance,2024-04-01 18:18:15.938575,2025-06-01 18:18:15.938575
100129,LUSH-like Product 130,Fragrance,2024-02-01 18:18:15.938575,
100130,LUSH-like Product 131,Fragrance,2024-04-01 18:18:15.938575,
100131,LUSH-like Product 132,Bath,2024-06-01 18:18:15.938575,2025-08-01 18:18:15.938575
100132,LUSH-like Product 133,Bath,2025-04-01 18:18:15.938575,
100133,LUSH-like Product 134,Bath,2025-03-01 18:18:15.938575,
100134,LUSH-like Product 135,Haircare,2024-04-01 18:18:15.938575,
100135,LUSH-like Product 136,Bath,2024-02-01 18:18:15.938575,
100136,LUSH-like Product 137,Bath,2024-06-01 18:18:15.938575,
100137,LUSH-like Product 138,Bath,2025-12-01 18:18:15.938575,
100138,LUSH-like Product 139,Haircare,2025-03-01 18:18:15.938575,
100139,LUSH-like Product 140,Bath,2024-08-01 18:18:15.938575,
100140,LUSH-like Product 141,Fragrance,2024-10-01 18:18:15.938575,
100141,LUSH-like Product 142,Bath,2025-04-01 18:18:15.938575,
100142,LUSH-like Product 143,Fragrance,2025-04-01 18:18:15.938575,
100143,LUSH-like Product 144,Fragrance,2024-11-01 18:18:15.938575,
100144,LUSH-like Product 145,Fragrance,2025-02-01 18:18:15.938575,2026-02-01 18:18:15.938575
100145,LUSH-like Product 146,Haircare,2025-08-01 18:18:15.938575,
100146,LUSH-like Product 147,Haircare,2024-08-01 18:18:15.938575,
100147,LUSH-like Product 148,Haircare,2025-06-01 18:18:15.938575,
100148,LUSH-like Product 149,Bath,2025-09-01 18:18:15.938575,
100149,LUSH-like Product 150,Fragrance,2024-05-01 18:18:15.938575,
100150,LUSH-like Product 151,Haircare,2024-06-01 18:18:15.938575,
100151,LUSH-like Product 152,Haircare,2025-12-01 18:18:15.938575,
100152,LUSH-like Product 153,Bath,2024-08-01 18:18:15.938575,
100153,LUSH-like Product 154,Haircare,2025-02-01 18:18:15.938575,
100154,LUSH-like Product 155,Bath,2025-04-01 18:18:15.938575,2026-06-01 18:18:15.938575
100155,LUSH-like Product 156,Skincare,2024-12-01 18:18:15.938575,
100156,LUSH-like Product 157,Haircare,2024-05-01 18:18:15.938575,
100157,LUSH-like Product 158,Skincare,2025-02-01 18:18:15.938575,2026-01-01 18:18:15.938575
100158,LUSH-like Product 159,Bath,2024-08-01 18:18:15.938575,
100159,LUSH-like Product 160,Fragrance,2025-08-01 18:18:15.938575,
100160,LUSH-like Product 161,Haircare,2025-11-01 18:18:15.938575,
100161,LUSH-like Product 162,Bath,2024-03-01 18:18:15.938575,
100162,LUSH-like Product 163,Fragrance,2024-11-01 18:18:15.938575,
100163,LUSH-like Product 164,Fragrance,2025-02-01 18:18:15.938575,
100164,LUSH-like Product 165,Skincare,2025-10-01 18:18:15.938575,
100165,LUSH-like Product 166,Bath,2024-07-01 18:18:15.938575,
100166,LUSH-like Product 167,Fragrance,2025-01-01 18:18:15.938575,
100167,LUSH-like Product 168,Haircare,2025-01-01 18:18:15.938575,
100168,LUSH-like Product 169,Haircare,2025-09-01 18:18:15.938575,
100169,LUSH-like Product 170,Skincare,2024-12-01 18:18:15.938575,
100170,LUSH-like Product 171,Fragrance,2025-12-01 18:18:15.938575,
100171,LUSH-like Product 172,Bath,2024-08-01 18:18:15.938575,
100172,LUSH-like Product 173,Haircare,2024-02-01 18:18:15.938575,
100173,LUSH-like Product 174,Fragrance,2024-02-01 18:18:15.938575,2025-03-01 18:18:15.938575
100174,LUSH-like Product 175,Fragrance,2025-09-01 18:18:15.938575,2026-12-01 18:18:15.938575
100175,LUSH-like Product 176,Skincare,2025-02-01 18:18:15.938575,
100176,LUSH-like Product 177,Haircare,2024-10-01 18:18:15.938575,
100177,LUSH-like Product 178,Haircare,2024-04-01 18:18:15.938575,
100178,LUSH-like Product 179,Bath,2024-08-01 18:18:15.938575,
100179,LUSH-like Product 180,Haircare,2024-07-01 18:18:15.938575,
100180,LUSH-like Product 181,Bath,2024-09-01 18:18:15.938575,
100181,LUSH-like Product 182,Haircare,2024-10-01 18:18:15.938575,
100182,LUSH-like Product 183,Skincare,2024-06-01 18:18:15.938575,
100183,LUSH-like Product 184,Haircare,2024-02-01 18:18:15.938575,2025-02-01 18:18:15.938575
100184,LUSH-like Product 185,Bath,2025-08-01 18:18:15.938575,
100185,LUSH-like Product 186,Bath,2024-11-01 18:18:15.938575,
100186,LUSH-like Product 187,Skincare,2025-01-01 18:18:15.938575,
100187,LUSH-like Product 188,Haircare,2026-01-01 18:18:15.938575,
100188,LUSH-like Product 189,Haircare,2025-04-01 18:18:15.938575,2026-09-01 18:18:15.938575
100189,LUSH-like Product 190,Skincare,2025-11-01 18:18:15.938575,
100190,LUSH-like Product 191,Haircare,2026-01-01 18:18:15.938575,
100191,LUSH-like Product 192,Haircare,2024-10-01 18:18:15.938575,
100192,LUSH-like Product 193,Bath,2025-09-01 18:18:15.938575,
100193,LUSH-like Product 194,Haircare,2025-06-01 18:18:15.938575,2026-01-01 18:18:15.938575
100194,LUSH-like Product 195,Haircare,2025-06-01 18:18:15.938575,
100195,LUSH-like Product 196,Skincare,2025-09-01 18:18:15.938575,
100196,LUSH-like Product 197,Skincare,2025-01-01 18:18:15.938575,
100197,LUSH-like Product 198,Fragrance,2024-08-01 18:18:15.938575,
100198,LUSH-like Product 199,Bath,2024-03-01 18:18:15.938575,
100199,LUSH-like Product 200,Haircare,2024-04-01 18:18:15.938575,
100200,LUSH-like Product 201,Haircare,2025-06-01 18:18:15.938575,
100201,LUSH-like Product 202,Fragrance,2024-06-01 18:18:15.938575,2025-07-01 18:18:15.938575
100202,LUSH-like Product 203,Haircare,2025-06-01 18:18:15.938575,
100203,LUSH-like Product 204,Bath,2026-01-01 18:18:15.938575,
100204,LUSH-like Product 205,Fragrance,2025-06-01 18:18:15.938575,2026-04-01 18:18:15.938575
100205,LUSH-like Product 206,Bath,2025-06-01 18:18:15.938575,
100206,LUSH-like Product 207,Fragrance,2024-03-01 18:18:15.938575,
100207,LUSH-like Product 208,Fragrance,2024-03-01 18:18:15.938575,
100208,LUSH-like Product 209,Skincare,2025-11-01 18:18:15.938575,
100209,LUSH-like Product 210,Bath,2025-12-01 18:18:15.938575,
100210,LUSH-like Product 211,Haircare,2024-06-01 18:18:15.938575,2025-08-01 18:18:15.938575
100211,LUSH-like Product 212,Haircare,2024-02-01 18:18:15.938575,
100212,LUSH-like Product 213,Bath,2024-02-01 18:18:15.938575,
100213,LUSH-like Product 214,Haircare,2025-08-01 18:18:15.938575,
100214,LUSH-like Product 215,Haircare,2024-03-01 18:18:15.938575,
100215,LUSH-like Product 216,Bath,2025-10-01 18:18:15.938575,
100216,LUSH-like Product 217,Fragrance,2025-01-01 18:18:15.938575,
100217,LUSH-like Product 218,Bath,2024-07-01 18:18:15.938575,
100218,LUSH-like Product 219,Fragrance,2025-12-01 18:18:15.938575,
100219,LUSH-like Product 220,Haircare,2024-05-01 18:18:15.938575,
100220,LUSH-like Product 221,Haircare,2025-12-01 18:18:15.938575,
100221,LUSH-like Product 222,Haircare,2024-12-01 18:18:15.938575,
100222,LUSH-like Product 223,Skincare,2026-01-01 18:18:15.938575,
100223,LUSH-like Product 224,Fragrance,2025-06-01 18:18:15.938575,
100224,LUSH-like Product 225,Skincare,2024-07-01 18:18:15.938575,
100225,LUSH-like Product 226,Skincare,2026-01-01 18:18:15.938575,
100226,LUSH-like Product 227,Bath,2024-06-01 18:18:15.938575,2025-05-01 18:18:15.938575
100227,LUSH-like Product 228,Skincare,2025-09-01 18:18:15.938575,2026-11-01 18:18:15.938575
100228,LUSH-like Product 229,Bath,2024-03-01 18:18:15.938575,
100229,LUSH-like Product 230,Bath,2024-07-01 18:18:15.938575,
100230,LUSH-like Product 231,Skincare,2025-11-01 18:18:15.938575,2027-02-01 18:18:15.938575
100231,LUSH-like Product 232,Fragrance,2024-12-01 18:18:15.938575,
100232,LUSH-like Product 233,Fragrance,2025-05-01 18:18:15.938575,2026-07-01 18:18:15.938575
100233,LUSH-like Product 234,Fragrance,2025-05-01 18:18:15.938575,
100234,LUSH-like Product 235,Fragrance,2024-02-01 18:18:15.938575,
100235,LUSH-like Product 236,Fragrance,2024-10-01 18:18:15.938575,
100236,LUSH-like Product 237,Skincare,2024-07-01 18:18:15.938575,
100237,LUSH-like Product 238,Skincare,2025-05-01 18:18:15.938575,
100238,LUSH-like Product 239,Haircare,2024-04-01 18:18:15.938575,2025-01-01 18:18:15.938575
100239,LUSH-like Product 240,Fragrance,2025-09-01 18:18:15.938575,
100240,LUSH-like Product 241,Skincare,2024-05-01 18:18:15.938575,
100241,LUSH-like Product 242,Haircare,2025-08-01 18:18:15.938575,
100242,LUSH-like Product 243,Fragrance,2024-04-01 18:18:15.938575,
100243,LUSH-like Product 244,Bath,2025-08-01 18:18:15.938575,
100244,LUSH-like Product 245,Haircare,2025-09-01 18:18:15.938575,
100245,LUSH-like Product 246,Skincare,2024-08-01 18:18:15.938575,
100246,LUSH-like Product 247,Bath,2025-09-01 18:18:15.938575,
100247,LUSH-like Product 248,Bath,2024-10-01 18:18:15.938575,
100248,LUSH-like Product 249,Bath,2024-02-01 18:18:15.938575,
100249,LUSH-like Product 250,Haircare,2024-09-01 18:18:15.938575,2025-10-01 18:18:15.938575
100250,LUSH-like Product 251,Skincare,2024-08-01 18:18:15.938575,2025-04-01 18:18:15.938575
100251,LUSH-like Product 252,Bath,2025-07-01 18:18:15.938575,
100252,LUSH-like Product 253,Fragrance,2024-09-01 18:18:15.938575,
100253,LUSH-like Product 254,Bath,2024-02-01 18:18:15.938575,
100254,LUSH-like Product 255,Bath,2024-12-01 18:18:15.938575,2026-03-01 18:18:15.938575
100255,LUSH-like Product 256,Haircare,2025-07-01 18:18:15.938575,
100256,LUSH-like Product 257,Haircare,2025-12-01 18:18:15.938575,
100257,LUSH-like Product 258,Skincare,2024-11-01 18:18:15.938575,2025-11-01 18:18:15.938575
100258,LUSH-like Product 259,Fragrance,2024-04-01 18:18:15.938575,
100259,LUSH-like Product 260,Haircare,2024-08-01 18:18:15.938575,2025-10-01 18:18:15.938575
100260,LUSH-like Product 261,Bath,2025-05-01 18:18:15.938575,
100261,LUSH-like Product 262,Skincare,2025-05-01 18:18:15.938575,2026-10-01 18:18:15.938575
100262,LUSH-like Product 263,Bath,2025-09-01 18:18:15.938575,
100263,LUSH-like Product 264,Bath,2025-06-01 18:18:15.938575,
100264,LUSH-like Product 265,Haircare,2024-03-01 18:18:15.938575,
100265,LUSH-like Product 266,Skincare,2024-02-01 18:18:15.938575,
100266,LUSH-like Product 267,Fragrance,2025-05-01 18:18:15.938575,
100267,LUSH-like Product 268,Fragrance,2025-01-01 18:18:15.938575,
100268,LUSH-like Product 269,Haircare,2024-06-01 18:18:15.938575,
